id,places1_id,places2_id,distance,status
74,118,119,0.07209,True
75,119,120,0.13182,True
76,119,31,0.04176,True
77,120,121,0.16862,True
78,120,3,0.08052,True
79,121,122,0.03944,True
80,121,124,0.12873,True
81,122,53,0.04778,True
82,122,123,0.1228,True
83,122,125,0.10102,True
84,123,53,0.08595,True
85,123,124,0.02259,True
86,125,53,0.08403,True
87,125,148,0.07156,True
88,125,126,0.0671,True
89,125,51,0.02798,True
90,126,148,0.06448,True
91,126,51,0.05752,True
92,127,128,0.06787,True
93,127,141,0.16308,True
94,128,129,0.03822,True
95,128,13,0.1006,True
96,128,12,0.04472,True
97,128,11,0.13639,True
98,12,11,0.09176,True
99,129,130,0.07675,True
100,129,139,0.16743,True
101,130,131,0.07719,True
102,130,149,0.04019,True
103,131,132,0.14698,True
104,131,188,0.05118,True
105,131,139,0.23295,True
106,132,133,0.025177,True
107,133,134,0.14112,True
108,133,137,0.19335,True
109,134,135,0.035065,True
110,135,136,0.16313,True
111,135,21,0.08442,True
112,136,20,0.03898,True
113,137,24,0.12224,True
114,138,18,0.11424,True
115,138,19,0.06107,True
116,139,140,0.07289,True
117,139,11,0.04002,True
118,139,12,0.12568,True
119,139,149,0.1493,True
120,139,10,0.07553,True
121,140,10,0.04293,True
122,141,11,0.07384,True
123,141,12,0.13087,True
124,141,10,0.13176,True
125,142,143,0.06157,True
126,142,19,0.10473,True
127,143,144,0.12448,True
128,143,17,0.08895,True
129,143,16,0.09231,True
130,143,18,0.05361,True
131,144,145,0.020936,True
132,144,18,0.1045,True
133,144,25,0.10955,True
134,145,146,0.14925,True
135,150,100,0.04338,True
136,100,101,0.06611,True
137,101,102,0.0845,True
138,101,25,0.05648,True
139,102,103,0.05974,True
140,102,155,0.05017,True
141,155,17,0.08212,True
142,157,101,0.0691,True
143,157,102,0.046155,True
144,157,103,0.09304,True
145,157,156,0.1274,True
146,157,100,0.10551,True
147,157,160,0.02461,True
148,160,100,0.10154,True
149,160,150,0.1445,True
150,156,105,0.17472,True
151,156,8,0.09185,True
152,105,161,0.09148,True
153,161,106,0.08977,True
154,106,165,0.09263,True
155,165,167,0.018214,True
156,165,168,0.03109,True
157,165,169,0.04688,True
158,165,170,0.07742,True
159,165,171,0.07473,True
160,165,172,0.08755,True
161,165,173,0.0922,True
162,165,174,0.08108,True
163,165,175,0.18194,True
164,165,176,0.1126,True
165,165,177,0.15447,True
166,165,180,0.0594,True
167,165,181,0.036064,True
168,165,182,0.09162,True
169,165,183,0.038444,True
170,165,184,0.10943,True
171,165,185,0.12695,True
172,183,167,0.04235,True
173,183,168,0.05125,True
174,183,169,0.06141,True
175,183,170,0.11278,True
176,183,171,0.09073,True
177,183,172,0.10199,True
178,183,173,0.106,True
179,183,174,0.09617,True
180,183,175,0.18794,True
181,183,176,0.12234,True
182,183,177,0.13887,True
183,183,180,0.04372,True
184,183,181,0.04692,True
185,183,182,0.05829,True
186,183,184,0.0736,True
187,183,185,0.09114,True
188,107,167,0.05642,True
189,107,168,0.04483,True
190,107,169,0.03577,True
191,107,171,0.01956,True
192,107,172,0.0272,True
193,107,173,0.03116,True
194,107,174,0.02295,True
195,107,175,0.11975,True
196,107,176,0.0528,True
197,107,177,0.13083,True
198,107,108,0.05067,True
199,108,29,0.05836,True
200,108,109,0.09813,True
201,109,31,0.0486,True
202,109,118,0.03073,True
